category,subcategory,language,target_type,keyword,geo_scope,country,notes
buyer,cosmetics,en,buyer,beauty ingredients importer cocoa butter,global,,Buyer keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier cocoa butter,global,,Buyer keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Belgium,country,Belgium,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Egypt,country,Egypt,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in France,country,France,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Germany,country,Germany,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Italy,country,Italy,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Morocco,country,Morocco,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Netherlands,country,Netherlands,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Poland,country,Poland,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Portugal,country,Portugal,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Saudi Arabia,country,Saudi Arabia,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Spain,country,Spain,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Switzerland,country,Switzerland,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Tunisia,country,Tunisia,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in Turkey,country,Turkey,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in UAE,country,UAE,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic ingredient supplier in UK,country,UK,Geo-targeted keyword
buyer,cosmetics,en,buyer,cosmetic raw materials buyer,global,,Buyer keyword
buyer,cosmetics,en,buyer,cosmetics manufacturer cocoa butter,global,,Buyer keyword
buyer,cosmetics,en,buyer,natural cosmetic ingredient importer,global,,Buyer keyword
buyer,cosmetics,en,buyer,personal care ingredient buyer,global,,Buyer keyword
buyer,cosmetics,en,buyer,raw butter cosmetic manufacturer,global,,Buyer keyword
buyer,cosmetics,en,buyer,skincare manufacturer cocoa butter,global,,Buyer keyword
buyer,food/chocolate,en,buyer,bakery ingredient supplier,global,,Buyer keyword
buyer,food/chocolate,en,buyer,chocolate factory,global,,Buyer keyword
buyer,food/chocolate,en,buyer,chocolate ingredients importer,global,,Buyer keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer,global,,Buyer keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Belgium,country,Belgium,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Egypt,country,Egypt,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in France,country,France,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Germany,country,Germany,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Italy,country,Italy,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Morocco,country,Morocco,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Netherlands,country,Netherlands,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Poland,country,Poland,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Portugal,country,Portugal,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Saudi Arabia,country,Saudi Arabia,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Spain,country,Spain,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Switzerland,country,Switzerland,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Tunisia,country,Tunisia,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in Turkey,country,Turkey,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in UAE,country,UAE,Geo-targeted keyword
buyer,food/chocolate,en,buyer,chocolate manufacturer in UK,country,UK,Geo-targeted keyword
buyer,food/chocolate,en,buyer,cocoa butter buyer,global,,Buyer keyword
buyer,food/chocolate,en,buyer,cocoa ingredient buyer,global,,Buyer keyword
buyer,food/chocolate,en,buyer,cocoa mass buyer,global,,Buyer keyword
buyer,food/chocolate,en,buyer,cocoa powder buyer,global,,Buyer keyword
buyer,food/chocolate,en,buyer,confectionery manufacturer,global,,Buyer keyword
buyer,food/chocolate,en,buyer,food ingredient importer,global,,Buyer keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Belgium,country,Belgium,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Egypt,country,Egypt,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in France,country,France,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Germany,country,Germany,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Italy,country,Italy,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Morocco,country,Morocco,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Netherlands,country,Netherlands,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Poland,country,Poland,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Portugal,country,Portugal,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Saudi Arabia,country,Saudi Arabia,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Spain,country,Spain,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Switzerland,country,Switzerland,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Tunisia,country,Tunisia,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in Turkey,country,Turkey,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in UAE,country,UAE,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredient importer in UK,country,UK,Geo-targeted keyword
buyer,food/chocolate,en,buyer,food ingredients distributor,global,,Buyer keyword
buyer,food/chocolate,en,buyer,industrial chocolate producer,global,,Buyer keyword
buyer,food/chocolate,es,buyer,fabricante de chocolate,global,,Localized or LinkedIn keyword
buyer,food/chocolate,fr,buyer,fabricant chocolat,global,,Localized or LinkedIn keyword
buyer,food/chocolate,fr,buyer,industrie chocolat,global,,Localized or LinkedIn keyword
buyer,trader/distributor,en,buyer,B2B cocoa distributor,global,,Buyer keyword
buyer,trader/distributor,en,buyer,cocoa importer distributor,global,,Buyer keyword
buyer,trader/distributor,en,buyer,cocoa importer in Belgium,country,Belgium,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Egypt,country,Egypt,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in France,country,France,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Germany,country,Germany,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Italy,country,Italy,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Morocco,country,Morocco,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Netherlands,country,Netherlands,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Poland,country,Poland,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Portugal,country,Portugal,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Saudi Arabia,country,Saudi Arabia,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Spain,country,Spain,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Switzerland,country,Switzerland,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Tunisia,country,Tunisia,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in Turkey,country,Turkey,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in UAE,country,UAE,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa importer in UK,country,UK,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa ingredient wholesaler,global,,Buyer keyword
buyer,trader/distributor,en,buyer,cocoa products distributor,global,,Buyer keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Belgium,country,Belgium,Geo-targeted keyword
buyer,trader/distributor,en,buyer,cocoa products distributor in Egypt,country,Egypt,Geo-targeted keyword
